"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","1,404.80","1,375.50","1,424.30","1,307.00","101.49M","0.78%"
"01-02-2026","1,393.90","1,396.00","1,489.50","1,335.00","226.23M","-0.11%"
"01-01-2026","1,395.40","1,573.70","1,611.80","1,368.00","279.06M","-11.14%"
"01-12-2025","1,570.40","1,575.00","1,580.90","1,517.60","183.58M","0.19%"
"01-11-2025","1,567.50","1,486.00","1,581.30","1,470.10","201.19M","5.46%"
"01-10-2025","1,486.40","1,367.00","1,508.30","1,356.90","249.06M","8.97%"
"01-09-2025","1,364.00","1,356.00","1,422.00","1,340.60","213.52M","0.50%"
"01-08-2025","1,357.20","1,386.90","1,431.90","1,350.00","189.16M","-2.37%"
"01-07-2025","1,390.20","1,500.60","1,551.00","1,382.20","246.76M","-7.36%"
"01-06-2025","1,500.60","1,412.10","1,524.80","1,395.60","220.58M","5.61%"
"01-05-2025","1,420.90","1,414.00","1,461.40","1,374.50","237.59M","1.13%"
"01-04-2025","1,405.00","1,264.60","1,412.40","1,114.85","295.76M","10.19%"
"01-03-2025","1,275.10","1,204.00","1,307.70","1,156.00","278.00M","6.25%"
"01-02-2025","1,200.10","1,265.10","1,290.50","1,193.30","206.66M","-5.14%"
"01-01-2025","1,265.10","1,214.85","1,326.00","1,211.60","285.69M","4.08%"
"01-12-2024","1,215.45","1,288.00","1,329.95","1,201.50","288.56M","-5.94%"
"01-11-2024","1,292.20","1,333.05","1,341.95","1,217.25","279.90M","-2.99%"
"01-10-2024","1,332.05","1,480.65","1,487.95","1,320.30","400.77M","-9.79%"
"01-09-2024","1,476.57","1,510.88","1,533.47","1,445.88","297.71M","-2.19%"
"01-08-2024","1,509.63","1,512.00","1,539.72","1,433.25","259.57M","0.28%"
"01-07-2024","1,505.43","1,562.53","1,608.80","1,463.00","230.09M","-3.83%"
"01-06-2024","1,565.40","1,483.00","1,581.00","1,359.30","319.05M","9.44%"
"01-05-2024","1,430.40","1,472.00","1,492.22","1,384.00","240.62M","-2.49%"
"01-04-2024","1,467.00","1,492.47","1,494.00","1,441.50","219.50M","-1.27%"
"01-03-2024","1,485.85","1,463.50","1,512.45","1,412.90","226.19M","1.71%"
"01-02-2024","1,460.80","1,435.00","1,499.95","1,418.05","238.81M","2.40%"
"01-01-2024","1,426.63","1,290.28","1,459.97","1,284.47","265.96M","10.38%"
"01-12-2023","1,292.47","1,189.00","1,307.00","1,188.80","255.46M","8.73%"
"01-11-2023","1,188.72","1,144.57","1,205.97","1,137.60","207.13M","3.91%"
"01-10-2023","1,143.95","1,164.97","1,183.50","1,110.15","205.67M","-2.43%"
"01-09-2023","1,172.50","1,203.28","1,241.50","1,162.50","317.03M","-2.58%"
"01-08-2023","1,203.50","1,277.50","1,291.40","1,199.95","298.48M","-5.58%"
"01-07-2023","1,274.63","1,161.17","1,315.47","1,159.95","396.85M","10.11%"
"01-06-2023","1,157.63","1,125.81","1,172.95","1,112.58","206.50M","3.25%"
"01-05-2023","1,121.16","1,105.86","1,151.94","1,095.35","201.74M","2.04%"
"01-04-2023","1,098.74","1,064.46","1,100.76","1,047.92","193.68M","3.84%"
"01-03-2023","1,058.13","1,064.01","1,100.60","989.57","321.23M","0.37%"
"01-02-2023","1,054.27","1,080.33","1,118.39","1,040.86","282.17M","-1.33%"
"01-01-2023","1,068.48","1,157.52","1,182.94","1,044.49","263.64M","-7.59%"
"01-12-2022","1,156.25","1,244.58","1,250.58","1,131.31","182.61M","-6.74%"
"01-11-2022","1,239.84","1,180.22","1,246.24","1,135.73","208.83M","7.13%"
"01-10-2022","1,157.34","1,085.57","1,162.49","1,063.60","189.00M","7.23%"
"01-09-2022","1,079.33","1,172.34","1,193.70","1,049.03","237.70M","-9.86%"
"01-08-2022","1,197.44","1,143.52","1,215.12","1,138.27","217.09M","5.12%"
"01-07-2022","1,139.11","1,168.82","1,176.58","1,073.54","394.02M","-3.32%"
"01-06-2022","1,178.24","1,195.79","1,278.88","1,109.86","324.62M","-1.41%"
"01-05-2022","1,195.04","1,253.75","1,273.50","1,075.81","372.66M","-5.65%"
"01-04-2022","1,266.58","1,196.56","1,296.49","1,144.72","272.42M","5.90%"
"01-03-2022","1,195.99","1,059.68","1,220.16","989.57","290.05M","11.66%"
"01-02-2022","1,071.07","1,093.06","1,115.03","1,018.16","231.77M","-1.13%"
"01-01-2022","1,083.35","1,073.54","1,165.37","1,046.31","253.42M","0.78%"
"01-12-2021","1,074.97","1,104.41","1,134.14","1,020.03","264.36M","-1.55%"
"01-11-2021","1,091.88","1,151.28","1,181.21","1,048.12","296.50M","-5.16%"
"01-10-2021","1,151.28","1,135.71","1,248.92","1,132.55","215.77M","0.67%"
"01-09-2021","1,143.56","1,031.78","1,166.60","1,023.61","303.66M","11.56%"
"01-08-2021","1,025.04","932.51","1,036.66","926.54","260.36M","10.95%"
"01-07-2021","923.88","961.42","977.56","915.23","198.83M","-3.57%"
"01-06-2021","958.09","983.21","1,032.64","944.63","464.78M","-2.30%"
"01-05-2021","980.62","892.42","994.88","865.19","345.55M","8.31%"
"01-04-2021","905.36","916.03","929.15","851.89","301.99M","-0.43%"
"01-03-2021","909.27","957.88","1,013.13","895.92","388.27M","-3.96%"
"01-02-2021","946.81","844.04","976.86","838.86","482.25M","13.24%"
"01-01-2021","836.11","902.41","962.33","830.69","600.10M","-7.22%"
"01-12-2020","901.19","880.78","925.11","842.15","465.54M","2.88%"
"01-11-2020","875.99","920.11","950.98","833.01","864.45M","-6.07%"
"01-10-2020","932.60","1,027.61","1,048.12","903.77","519.66M","-8.05%"
"01-09-2020","1,014.24","953.25","1,075.52","927.95","757.54M","7.38%"
"01-08-2020","944.49","931.15","996.83","907.97","766.53M","0.66%"
"01-07-2020","938.32","780.76","998.10","775.33","1.23B","21.30%"
"01-06-2020","773.54","671.82","818.98","669.98","795.37M","16.37%"
"01-05-2020","664.73","647.52","726.21","632.32","927.84M","0.84%"
