,BRTI,EICH,HDBK,HLL,LART,RELI,SUN,TISC,TITN
BRTI,1.0,0.23574345088017196,0.378554306016636,0.04238285147647983,0.3428030426100744,0.38754087070718346,0.31737709664057656,0.19330435966569542,0.21138496710464982
EICH,0.23574345088017196,1.0,0.385773546945925,0.21932395072942687,0.42754475916965345,0.3328051737635934,0.2775526170213867,0.3065429796062594,0.38806303282537097
HDBK,0.378554306016636,0.385773546945925,1.0,0.07963019667511133,0.6129663117669173,0.44582173809291425,0.1596357523796594,0.4985384552507665,0.4452050272357464
HLL,0.04238285147647983,0.21932395072942687,0.07963019667511133,1.0,0.0794058297760107,0.015122736112498661,0.07430339962895276,0.014975694490601328,0.3754996961047278
LART,0.3428030426100744,0.42754475916965345,0.6129663117669173,0.0794058297760107,1.0,0.2636928127764674,0.3253589928843039,0.5327421515299663,0.5676770682048711
RELI,0.38754087070718346,0.3328051737635934,0.44582173809291425,0.015122736112498661,0.2636928127764674,1.0,0.4618968169899736,0.22421745486309422,0.3949398623487132
SUN,0.31737709664057656,0.2775526170213867,0.1596357523796594,0.07430339962895276,0.3253589928843039,0.4618968169899736,1.0,0.35381338173613786,0.19700421389220138
TISC,0.19330435966569542,0.3065429796062594,0.4985384552507665,0.014975694490601328,0.5327421515299663,0.22421745486309422,0.35381338173613786,1.0,0.37416487451863056
TITN,0.21138496710464982,0.38806303282537097,0.4452050272357464,0.3754996961047278,0.5676770682048711,0.3949398623487132,0.19700421389220138,0.37416487451863056,1.0
