Return,Volatility,Sharpe,Annual_Return,Annual_Vol,Annual_Sharpe
0.018049856473454747,0.056259686991260875,0.22455137030446798,0.23944872264048778,0.1948892725735713,0.7778687645531035
0.016414720176763646,0.055191381496773266,0.1992712124942909,0.21576980465548434,0.19118855378465624,0.6902957290519317
0.014075863860066231,0.04835450702336296,0.17907735444838238,0.18262036596711795,0.16750492587882151,0.6203421527792375
0.019052266858700907,0.0487106029025088,0.2799308442009029,0.25417319004868855,0.16873847818891452,0.9697088895232229
0.014267637454000595,0.046124850767190306,0.1918915864250304,0.18530692709472518,0.15978117004061182,0.6647319544662939
0.020149333149312953,0.07210703701092357,0.2043166255800307,0.2704717136007,0.24978610337233817,0.7077735526712802
0.015158613344751904,0.05288006566919849,0.184227204614833,0.1978621605258335,0.18318192089326102,0.6381817570585565
0.016290123378051437,0.061598442447337365,0.17652161774513803,0.21398259398036057,0.2133832639717914,0.6114888211376619
0.019685648991151234,0.050644444004919985,0.28174822736919314,0.26355946493330773,0.1754375002751969,0.9760044894918212
0.01627031564961644,0.054791758640612295,0.1980890785809697,0.21369869481227188,0.18980421960318306,0.6862006970534866
0.01636702515929041,0.049734941153912415,0.22017435305163383,0.21508538482756534,0.17228688998004918,0.7627063320180749
0.015994389230340186,0.054300950446622476,0.1947981108373298,0.20975023477405053,0.18810401014566008,0.6748004503773775
0.016414030571893185,0.051008989577137814,0.2155965839824345,0.21575990636140951,0.17670032318070797,0.7468484747917339
0.015594478914779409,0.04902354772913549,0.2076106834280356,0.20404848336583714,0.16982255086828105,0.7191845037829111
0.014867365959716931,0.053920075025204524,0.17527236912472038,0.19374468480827622,0.18678461898315987,0.6071612969739646
0.016032841858033015,0.05012494693444658,0.21179424299940278,0.21029977827900725,0.17363790963431064,0.7336767792511092
0.015298109982895053,0.05042720676269212,0.19595460368705245,0.19983888520688575,0.17468496839352726,0.6788066591259969
0.014118261008827989,0.048312476223384374,0.18011070891765937,0.1832138276339237,0.16735932691673017,0.6239217976652698
