Return,Volatility,Sharpe
0.004899503376698975,0.06175297119505478,-0.00837471104562992
0.005146432272619895,0.05765184180251157,-0.004687350578884705
0.005393361168540814,0.054048924979591066,-0.0004311926302817818
0.005640290064461734,0.05104981622020765,0.004380493689349413
0.005887218960382653,0.04876604553605272,0.00964917881988416
0.006134147856303573,0.047301339037606256,0.01516830610369154
0.006381076752224491,0.04643297748195717,0.020769938476001736
0.006628005648145411,0.045698858787282234,0.02650698537390727
0.00687493454406633,0.045089953044885396,0.03234130396960075
0.00712186343998725,0.04454225058009724,0.0382826810749997
0.007368792335908169,0.04404270997103654,0.044323468526919964
0.007615721231829088,0.04359298693750763,0.05044514541558847
0.007862650127750007,0.04319463754181561,0.056627016691955044
0.008109579023670927,0.04284909345330207,0.06284642544279398
0.008356507919591846,0.04253877948267124,0.06910967565777867
0.008603436815512766,0.042246066510255684,0.0754335352871841
0.008850365711433685,0.04197132279229581,0.08181059867375214
0.009097294607354605,0.04171490337867928,0.0882329249878864
0.009344223503275524,0.04147714812372141,0.09469206573444783
0.009591152399196444,0.04125837969042244,0.10117910019376805
0.009838081295117363,0.041058901574493524,0.10768467881267806
0.01008501019103828,0.04087899617107707,0.11419907438124877
0.010331939086959202,0.04071892291117955,0.12071224062125244
0.01057886798288012,0.040578708791054956,0.1272145287518708
0.010825796878801041,0.04045744428588024,0.1336992562830316
0.011072725774721959,0.0403551344690575,0.1401571121610833
0.01131965467064288,0.04027192380132011,0.14657824724486376
0.011566583566563798,0.040207930861445106,0.15295283214372543
0.011813512462484717,0.040163010053473794,0.15927207117447542
0.012060441358405637,0.04013547519386919,0.16553372445815281
0.012307370254326556,0.040125008546189236,0.1717308939567644
0.012554299150247476,0.04013162346429231,0.17785556295602195
0.012801228046168395,0.040155311506192275,0.1838999898771292
0.013048156942089315,0.040196042488788726,0.18985675710615502
0.013295085838010234,0.040253485123418746,0.1957201754627712
0.013542014733931153,0.040326205932664005,0.2014905166340729
0.013788943629852073,0.040413940952698055,0.20716309188912368
0.014035872525772992,0.04051659264533348,0.21273274222626534
0.014282801421693912,0.04063404796418612,0.21819472091093767
0.014529730317614831,0.04076617895325767,0.22354470997630574
0.01477665921353575,0.04091271589152797,0.22877954550084784
0.015023588109456669,0.04107126227563605,0.23390859960223181
0.015270517005377588,0.041240860564886565,0.23893415907767745
0.015517445901298508,0.041421375004681266,0.24385427170127244
0.015764374797219427,0.04161266353651002,0.24866728661754403
0.016011303693140348,0.04181457828812904,0.25337184925003653
0.016258232589061266,0.04202696610819827,0.25796689426695774
0.016505161484982184,0.042249669053119554,0.2624516372986071
0.016752090380903105,0.04248252489961545,0.2668255651240505
0.016999019276824026,0.04272536764701233,0.2710884247000103
0.017245948172744944,0.042978028004714716,0.2752402112256197
0.01749287706866586,0.04324033387586898,0.27928115533674297
0.017739805964586783,0.04351211082160752,0.28321170968797527
0.017986734860507704,0.04379318251231456,0.28703253503684867
0.018233663756428622,0.044083789054928955,0.2907417298860544
0.01848059265234954,0.044385868034445906,0.29432624761432036
0.01872752154827046,0.044701001333936036,0.29777531787634653
0.01897445044419138,0.045034656043803516,0.30105223329201325
0.019221379340112296,0.04538768575701441,0.3041510586671009
0.019468308236033217,0.04575964204884536,0.307074988793998
0.01971523713195414,0.046150067292045564,0.3098277273314394
0.019962166027875056,0.046558496865256205,0.31241342269498434
0.020209094923795974,0.04698446124270422,0.314836604823819
0.020456023819716895,0.04742748796645741,0.31710212363949475
0.020702952715637817,0.04788710348301767,0.3192150900167133
0.02094988161155873,0.04836283484045095,0.3211808198617008
0.021196810507479652,0.048854211243763636,0.32300478175926667
0.021443739403400573,0.049360765465395466,0.32469254853776003
0.021690668299321494,0.04988203511365339,0.32624975295365227
0.02193759719524241,0.05041756375924095,0.3276820476187259
0.02218452609116333,0.05096690193026199,0.32899506914193305
0.02243145498708425,0.05156850408415153,0.329945353711486
0.022678383883005172,0.05236193709982174,0.3296615475365458
0.022925312778926087,0.05335154439242698,0.32817505681699993
0.023172241674847008,0.054526645872099,0.32563116113594975
0.02341917057076793,0.0558755395491765,0.32218935243134644
0.02366609946668885,0.057386189585596464,0.31801088261491167
0.023913028362609764,0.059152914797193486,0.3126872405080647
0.024159957258530686,0.06136867008806334,0.30542116302940264
0.024406886154451607,0.06534584442541509,0.29061097388465357
